title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Prisoners (2013),Denis Villeneuve,8.1,396312,2013,Crime,122126687,46000000,153,Jake Gyllenhaal,73,M,Hugh Jackman,252,M,Maria Bello,312,F,Dylan Minnette,547,M,Paul Dano,830,M,Terrence Howard,3300,M
Head Over Heels (2001),Mark (VIII) Waters,5.3,11812,2001,Comedy,10397365,14000000,86,Timothy Olyphant,715,M,Monica Potter,1125,F,Freddie Prinze Jr.,1305,M,Ivana Milicevic,1309,F,China Chow,7755,F,Shalom Harlow,8738,F
Just Married (2003),Shawn (I) Levy,5.4,58149,2003,Comedy,101564935,18000000,95,Ashton Kutcher,718,M,Taran Killam,1395,M,Veronica Cartwright,2189,F,Christian Kane,2539,M,David Moscow,4451,M,Monet Mazur,5662,F
Insurgent (2015),Robert Schwentke,6.3,160260,2015,Adventure,297276329,110000000,119,Shailene Woodley,145,F,Miles Teller,298,M,Naomi Watts,423,F,Jai Courtney,476,M,Kate Winslet,492,F,Maggie Q,572,F
The Caveman's Valentine (2001),Kasi Lemmons,6,5635,2001,Crime,687194,13500000,105,Samuel L. Jackson,581,M,Erik LaRay Harvey,1202,M,Anthony Michael Hall,1612,M,Aunjanue Ellis,3938,F,Rodney Eastman,6608,M,Colm Feore,6692,M
Camp X-Ray (2014),Peter (I) Sattler,7,30102,2014,Drama,50744,1000000,117,Cory Michael Smith,1926,M,John Carroll Lynch,2155,M,Peyman Moaadi,6971,M,Kyle Bornheimer,7620,M,Joseph Julian Soria,9021,M,Lane Garrison,9229,M
Demolition Man (1993),Marco (I) Brambilla,6.6,126228,1993,Action,159055768,57000000,115,Sylvester Stallone,224,M,Sandra Bullock,396,F,Benjamin Bratt,984,M,Jack Black,985,M,Adrienne Barbeau,1340,F,Rob Schneider,1691,M
Nothing in Common (1986),Garry (I) Marshall,5.9,5049,1986,Comedy,32324557,12000000,118,Tom Hanks,68,M,Sela Ward,1756,F,Dan Castellaneta,3285,M,Bess Armstrong,3453,F,Hector Elizondo,3963,M,Barry Corbin,4334,M
The Shaggy Dog (2006),Brian (I) Robbins,4.4,15067,2006,Comedy,87134280,50000000,98,Robert Downey Jr.,290,M,Tim Allen,1846,M,Danny Glover,2219,M,Rhea Seehorn,3710,F,Spencer Breslin,4287,M,Joshua Leonard,4585,M
When the Bough Breaks (2016),Jon Cassar,4.3,1029,2016,Drama,26628954,10000000,107,Theo Rossi,464,M,Michael Kenneth Williams,1967,M,Morris Chestnut,2834,M,Romany Malco,5786,M,Jaz Sinclair,7031,F,Sue-Lynn Ansari,7172,F
Tough Guys Don't Dance (1987),Norman Mailer,4.8,970,1987,Comedy,858250,5000000,110,Isabella Rossellini,2045,F,Ryan O'Neal,4157,M,Clarence Williams III,8052,M,Lawrence Tierney,8134,M,Penn Jillette,8955,M,Debra Stipe,9064,F
Slums of Beverly Hills (1998),Tamara Jenkins,6.6,9517,1998,Comedy,5480318,5000000,92,David Krumholtz,595,M,Marisa Tomei,734,F,Mena Suvari,778,F,Natasha Lyonne,1347,F,Kevin Corrigan,4573,M,Alan Arkin,4606,M
Rumor Has It... (2005),Rob Reiner,5.5,41675,2005,Comedy,88933562,35000000,97,Jennifer Aniston,177,F,Erinn Hayes,449,F,Kevin Costner,716,M,Mena Suvari,778,F,Mark Ruffalo,817,M,Dustin Hoffman,1854,M
Shadows and Fog (1991),Woody Allen,6.8,13307,1991,Comedy,2735731,14000000,85,John Cusack,619,M,Jodie Foster,663,F,Woody Allen,814,M,Donald Pleasence,867,M,Peter Dinklage,993,M,William H. Macy,1016,M
Jury Duty (1995),John Fortenberry,4,6299,1995,Comedy,17014653,21000000,88,Stanley Tucci,1523,M,Brian Doyle-Murray,1597,M,Tia Carrere,1753,F,Siobhan Fallon Hogan,3663,F,Shelley Winters,4171,F,Pauly Shore,4223,M
But I'm a Cheerleader (1999),Jamie Babbit,6.6,20267,1999,Comedy,2595216,1200000,85,Melanie Lynskey,1123,F,Natasha Lyonne,1347,F,Clea DuVall,1880,F,Ione Skye,2224,F,Cathy Moriarty,2427,F,Eddie Cibrian,3399,M
Surfer Dude (2008),S.R. Bindler,4.7,7422,2008,Comedy,36497,6000000,85,Matthew McConaughey,62,M,Travis Fimmel,97,M,Woody Harrelson,943,M,Nolan North,2344,M,Scott Glenn,2681,M,Zachary Knighton,4987,M
Divine Secrets of the Ya-Ya Sisterhood (2002),Callie Khouri,6,15487,2002,Drama,73839240,27000000,116,Sandra Bullock,396,F,Ashley Judd,1017,F,Kiersten Warren,1296,F,Ellen Burstyn,1721,F,James Garner,2567,M,Fionnula Flanagan,3677,F
The Last Days of Disco (1998),Whit Stillman,6.6,9977,1998,Comedy,2987297,8000000,113,Kate Beckinsale,112,F,Michael Weatherly,1389,M,Matt Ross,1577,M,Jennifer Beals,2024,F,Robert Sean Leonard,2502,M,Mark McKinney,3885,M
Posse (1993),Mario Van Peebles,5.4,3274,1993,Western,18290000,10000000,111,Billy Zane,1407,M,Pam Grier,2325,F,Stephen Baldwin,2850,M,Salli Richardson-Whitfield,3071,F,Blair Underwood,4414,M,Tommy 'Tiny' Lister,4521,M
Only the Brave (2006),Lane Nishikawa,5.5,644,2006,Drama,142060,3300000,99,Mark Dacascos,2905,M,Jeff Fahey,3737,M,Jason Scott Lee,4443,M,Pat Morita,4512,M,Kenneth Choi,4776,M,Tamlyn Tomita,4863,F
The Open Road (2009),Michael (I) Meredith,5.5,2979,2009,Comedy,19348,10000000,90,Justin Timberlake,758,M,Jeff Bridges,1089,M,Mary Steenburgen,1440,F,Ted Danson,2538,M,Louis Herthum,3351,M,Harry Dean Stanton,3405,M
One Last Ride (2004),Tony (I) Vitale,4.9,130,2004,Drama,336000,1000000,88,Lana Parrilla,897,F,Josh Hutcherson,1049,M,Robert Davi,5233,M,Chazz Palminteri,5737,M,Danny Nucci,6033,M,Charles Durning,7017,M
Company Man (2000),Peter Askin,5.5,1761,2000,Comedy,146028,16000000,86,Sigourney Weaver,580,F,Woody Allen,814,M,Ryan Phillippe,1184,M,John Turturro,1451,M,Matt Ross,1577,M,Alan Cumming,2140,M
The Proposition (2005),John Hillcoat,7.4,43630,2005,Crime,1900725,2000000,104,Guy Pearce,1375,M,John Hurt,1836,M,Danny Huston,2226,M,David Wenham,2677,M,Ray Winstone,4132,M,Noah Taylor,4803,M
The Last Godfather (2010),Hyung-rae Shim,3.6,920,2010,Comedy,163591,13400000,100,Harvey Keitel,2244,M,Jon Polito,2321,M,Jason Mewes,2796,M,Jocelin Donahue,4689,F,Michael Rispoli,7661,M,Blake Clark,9462,M
Wall Street (1987),Oliver (I) Stone,7.4,120545,1987,Crime,43848100,15000000,126,James Spader,405,M,John C. McGinley,599,M,Charlie Sheen,995,M,Michael Douglas,1228,M,Daryl Hannah,1229,F,Martin Sheen,2379,M
The Last Boy Scout (1991),Tony (I) Scott,6.9,76779,1991,Action,59509925,29000000,96,Bruce Willis,377,M,Halle Berry,966,F,Kim Coates,2000,M,Damon Wayans,2125,M,James Gandolfini,2398,M,Morris Chestnut,2834,M
Tron: Legacy (2010),Joseph (I) Kosinski,6.8,266963,2010,Action,400062763,170000000,125,Cillian Murphy,172,M,Olivia Wilde,385,F,Garrett Hedlund,646,M,Michael Sheen,770,M,Jeff Bridges,1089,M,Serinda Swan,2397,F
A Perfect Getaway (2009),David Twohy,6.5,57023,2009,Adventure,15536310,14000000,108,Chris Hemsworth,133,M,Milla Jovovich,251,F,Timothy Olyphant,715,M,Marley Shelton,2145,F,Steve Zahn,2600,M,Kiele Sanchez,2675,F
Divergent (2014),Neil (I) Burger,6.7,347361,2014,Adventure,288885818,85000000,139,Shailene Woodley,145,F,Miles Teller,298,M,Jai Courtney,476,M,Kate Winslet,492,F,Maggie Q,572,F,Theo James,804,M
The Beach (2000/I),Danny Boyle,6.6,179216,2000,Adventure,144056873,50000000,119,Tilda Swinton,14,F,Leonardo DiCaprio,38,M,Robert Carlyle,397,M,Victoria Smurfit,3637,F,Paterson Joseph,4175,M,Guillaume Canet,4327,M
Cold Mountain (2003),Anthony Minghella,7.2,119597,2003,Adventure,173013509,79000000,154,Natalie Portman,138,F,Cillian Murphy,172,M,Charlie Hunnam,246,M,Nicole Kidman,415,F,Jude Law,479,M,Jena Malone,496,F
I'm in Love with a Church Girl (2013),Steve (III) Race,4.5,1151,2013,Drama,2057286,5000000,118,Ed Harris,256,M,Michael Madsen,2536,M,Stephen Baldwin,2850,M,Zahn McClarnon,2914,M,Martin Kove,6158,M,Adrienne Bailon,6721,F
Maverick (1994),Richard Donner,7,83686,1994,Action,183031272,75000000,127,Mel Gibson,29,M,Jodie Foster,663,F,Corey Feldman,1238,M,Danny Glover,2219,M,James Coburn,2409,M,James Garner,2567,M
Fight Club (1999),David Fincher,8.8,1375619,1999,Drama,100853753,63000000,151,Brad Pitt,91,M,Jared Leto,98,M,Helena Bonham Carter,180,F,Edward Norton,664,M,Meat Loaf,2837,M,Eion Bailey,3390,M
D-War (2007),Hyung-rae Shim,3.6,21618,2007,Action,79915361,35000000,107,Aimee Garcia,1553,F,Derek Mears,2115,M,Craig Robinson,4230,M,Jason Behr,4429,M,Robert Forster,4688,M,Billy Gardell,6925,M
Aquamarine (2006),Elizabeth Allen Rosenbaum,5.3,31023,2006,Comedy,18595716,12000000,104,Dichen Lachman,431,F,Arielle Kebbel,445,F,Sara Paxton,773,F,Elizabeth Daily,1327,F,Jake McDorman,2599,M,Joanna 'JoJo' Levesque,3042,F
Bulletproof (1988),Steve (I) Carver,5,1005,1988,Action,807947,5000000,93,Danny Trejo,851,M,Gary Busey,3162,M,Cary-Hiroyuki Tagawa,5085,M,William Smith,5339,M,Darlanne Fluegel,7589,F,L.Q. Jones,9604,M
The Lincoln Lawyer (2011),Brad Furman,7.3,176006,2011,Crime,87145086,40000000,118,Matthew McConaughey,62,M,Bryan Cranston,182,M,Marisa Tomei,734,F,William H. Macy,1016,M,Ryan Phillippe,1184,M,John Leguizamo,1748,M
Son of Rambow (2007),Garth Jennings,7,27185,2007,Action,1784769,4000000,96,Asa Butterfield,403,M,Ed Westwick,1542,M,Will Poulter,1692,M,Jessica Hynes,2234,F,Edgar Wright,2744,M,Adam Godley,4385,M
Superman IV: The Quest for Peace (1987),Sidney J. Furie,3.6,34014,1987,Action,15681020,17000000,134,Gene Hackman,1519,M,Christopher Reeve,1799,M,Jon Cryer,2935,M,Jim Broadbent,2938,M,Margot Kidder,2966,F,Mariel Hemingway,5834,F
Whispers in the Dark (1992),Christopher Crowe,5.6,1609,1992,Drama,11124511,18000000,103,John Leguizamo,1748,M,Alan Alda,2877,M,Deborah Kara Unger,3267,F,Annabella Sciorra,3507,F,Anthony LaPaglia,4878,M,Jamey Sheridan,5450,M
Jimmy P. (2013),Arnaud Desplechin,6.1,2084,2013,Drama,23220,10000000,117,Benicio Del Toro,881,M,A Martinez,3968,M,Gina McKee,5359,F,Joseph Cross,8083,M,Lily Gladstone,8154,F,Mathieu Amalric,8180,M
Are We There Yet? (2005),Brian Levant,4.6,23042,2005,Adventure,97918663,32000000,95,Nia Long,523,F,Ice Cube,1833,M,Nichelle Nichols,3962,F,Henry Simmons,5456,M,Tracy Morgan,6269,M,Aleisha Allen,6862,F
Hello My Name Is Doris (2015),Michael (I) Showalter,6.7,9053,2015,Comedy,14440072,1000000,95,Wendi McLendon-Covey,702,F,Elizabeth Reaser,850,F,Natasha Lyonne,1347,F,Beth Behrs,1472,F,Sally Field,1579,F,Max Greenfield,1858,M
Kung Fu Panda (2008),Mark (I) Osborne,7.6,313179,2008,Action,631744560,130000000,92,Angelina Jolie,210,F,Seth Rogen,603,M,Jackie Chan,859,M,Jack Black,985,M,Ian McShane,1201,M,Dan Fogler,1487,M
The Hills Have Eyes II (2007),Martin Weisz,5.1,50522,2007,Horror,20801344,15000000,89,Jessica Stroup,1152,F,Jeff Kober,1168,M,Derek Mears,2115,M,Jacob Vargas,3739,M,Daniella Alonso,4315,F,Lee Thompson Young,5466,M
Wonderland (2003),James (V) Cox,6.6,18908,2003,Crime,2466444,5000000,104,Val Kilmer,132,M,Christina Applegate,799,F,Kate Bosworth,1298,F,Lisa Kudrow,1324,F,Michelle Borth,1432,F,Ted Levine,1456,M
The Inbetweeners Movie (2011),Ben (III) Palmer,6.8,64804,2011,Comedy,88025781,3500000,97,Theo James,804,M,Henry Lloyd-Hughes,3580,M,James Buckley,4106,M,Anthony Head,4400,M,Tamla Kari,5156,F,Belinda Stewart-Wilson,5393,F
Little Women (1994),Gillian Armstrong,7.3,37167,1994,Drama,50083616,15000000,115,Winona Ryder,30,F,Christian Bale,247,M,Kirsten Dunst,444,F,Claire Danes,477,F,Susan Sarandon,524,F,Samantha Mathis,1868,F
The Usual Suspects (1995),Bryan Singer,8.6,755357,1995,Crime,23272306,6000000,106,Kevin Spacey,726,M,Benicio Del Toro,881,M,Giancarlo Esposito,1960,M,Kevin Pollak,2766,M,Stephen Baldwin,2850,M,Clark Gregg,2956,M
Surrender (1987/I),Jerry Belson,5.4,640,1987,Comedy,5711976,15000000,105,Sally Field,1579,F,Michael Caine,1633,M,Peter Boyle,2608,M,Steve Guttenberg,2649,M,Julie Kavner,8023,F,Louise Lasser,9080,F
My Girl (1991),Howard Zieff,6.8,56689,1991,Comedy,59847242,16500000,102,Jamie Lee Curtis,105,F,Macaulay Culkin,944,M,Anna Chlumsky,1254,F,Dan Aykroyd,1699,M,Richard Masur,3159,M,Griffin Dunne,5229,M
The Losers (2010/I),Sylvain White,6.4,75588,2010,Action,23580735,25000000,97,Jeffrey Dean Morgan,3,M,Idris Elba,104,M,Zoe Saldana,121,F,Chris Evans,237,M,Jason Patric,1414,M,Holt McCallany,4101,M
Undercover Blues (1993),Herbert (I) Ross,6,6225,1993,Comedy,12416686,25000000,90,Stanley Tucci,1523,M,Dennis Quaid,1751,M,Dave Chappelle,2696,M,Fiona Shaw,3730,F,Richard Jenkins,3872,M,Tom Arnold,5351,M
Dracula Untold (2014),Gary (IV) Shore,6.3,141699,2014,Action,217124280,70000000,92,Luke Evans,52,M,Sarah Gadon,295,F,Dominic Cooper,1167,M,Zach McGowan,1200,M,Charles Dance,1237,M,Paul Kaye,4059,M
Dickie Roberts: Former Child Star (2003),Sam (I) Weisman,5.6,11922,2003,Comedy,22734486,17000000,98,Alyssa Milano,744,F,Brendan Fraser,980,M,Corey Feldman,1238,M,Corey Haim,1511,M,Maureen McCormick,1841,F,David Spade,2143,M
My Bloody Valentine (2009),Patrick (I) Lussier,5.5,46117,2009,Horror,100734718,15000000,101,Jensen Ackles,526,M,Jaime King,564,F,Megan Boone,839,F,Kerr Smith,1274,M,Jeffrey Jones,2249,M,Tom Atkins,3693,M
The Haunting (1999),Jan de Bont,4.9,59637,1999,Fantasy,177311151,80000000,112,Virginia Madsen,505,F,Liam Neeson,570,M,Catherine Zeta-Jones,798,F,Owen Wilson,1404,M,Bruce Dern,3798,M,Courtland Mead,4668,M
Jerry Maguire (1996),Cameron (I) Crowe,7.3,192695,1996,Comedy,273552592,50000000,139,Tom Cruise,49,M,Kelly Preston,1203,F,Ivana Milicevic,1309,F,Bonnie Hunt,1320,F,Jonathan Lipnicki,1850,M,Cuba Gooding Jr.,1948,M
White House Down (2013),Roland Emmerich,6.4,167301,2013,Action,205366737,150000000,131,Jimmi Simpson,101,M,Joey King,336,F,Channing Tatum,534,M,Maggie Gyllenhaal,1282,F,Rachelle Lefevre,1474,F,James Woods,1965,M
The First Wives Club (1996),Hugh (I) Wilson,6.2,32417,1996,Comedy,181489203,26000000,103,Sarah Jessica Parker,196,F,Bette Midler,315,F,Timothy Olyphant,715,M,J.K. Simmons,810,M,Goldie Hawn,1109,F,Diane Keaton,1379,F
Crazy in Alabama (1999),Antonio Banderas,6.3,5953,1999,Comedy,1954202,15000000,111,Dakota Johnson,327,F,Lucas Black,1384,M,Cathy Moriarty,2427,F,David Morse,2582,M,Meat Loaf,2837,M,Robert Wagner,3171,M
Hollywood Ending (2002),Woody Allen,6.6,21953,2002,Comedy,4839383,16000000,112,Woody Allen,814,M,Mark Webber,1149,M,Tiffani Thiessen,1272,F,Debra Messing,2197,F,Aaron Stanford,5439,M,Treat Williams,6188,M
Street Fighter: The Legend of Chun-Li (2009),Andrzej Bartkowiak,3.7,19985,2009,Action,12764201,18000000,96,Kristin Kreuk,1048,F,Neal McDonough,1581,M,Michael Clarke Duncan,1632,M,Moon Bloodgood,2843,F,Chris Klein,3382,M,Robin Shou,7829,M
Kate & Leopold (2001),James Mangold,6.4,65528,2001,Comedy,76019048,48000000,123,Hugh Jackman,252,M,Liev Schreiber,879,M,Kristen Schaal,1253,F,Natasha Lyonne,1347,F,Bradley Whitford,2483,M,Breckin Meyer,3755,M
The Disappearance of Eleanor Rigby: Them (2014),Ned Benson,6.3,8506,2014,Drama,436251,3000000,123,Jessica Chastain,191,F,James McAvoy,201,M,William Hurt,1334,M,Bill Hader,1357,M,Isabelle Huppert,1506,F,Ryan Eggold,1678,M
The Flintstones in Viva Rock Vegas (2000),Brian Levant,3.6,15775,2000,Comedy,59468275,83000000,90,John Cho,1980,M,Alan Cumming,2140,M,Jane Krakowski,2142,F,Stephen Baldwin,2850,M,Thomas Gibson,2930,M,Mark Addy,4257,M
How to Lose a Guy in 10 Days (2003),Donald (I) Petrie,6.4,159915,2003,Comedy,177371441,50000000,116,Matthew McConaughey,62,M,Kathryn Hahn,279,F,Thomas Lennon,1731,M,Adam Goldberg,2169,M,Bebe Neuwirth,3188,F,Annie Parisse,3876,F
Lords of Dogtown (2005),Catherine Hardwicke,7.1,44391,2005,Biography,11008432,25000000,107,Heath Ledger,435,M,Jeremy Renner,562,M,Rebecca De Mornay,927,F,Eddie Cahill,1004,M,Joel McHale,1132,M,Emile Hirsch,1549,M
Beetlejuice (1988),Tim (I) Burton,7.5,193737,1988,Comedy,73707461,15000000,92,Winona Ryder,30,F,Geena Davis,502,F,Michael Keaton,740,M,Alec Baldwin,1207,M,Jeffrey Jones,2249,M,Glenn Shadix,4053,M
No Reservations (2007),Scott (I) Hicks,6.3,59821,2007,Comedy,92601050,28000000,104,Lily Rabe,582,F,Catherine Zeta-Jones,798,F,Aaron Eckhart,1046,M,Patricia Clarkson,3314,F,Bob Balaban,3964,M,Jenny Wade,6655,F
Predator (1987),John McTiernan,7.8,295085,1987,Action,98235548,15000000,107,Arnold Schwarzenegger,382,M,Shane Black,1817,M,Carl Weathers,2211,M,Kevin Peter Hall,3334,M,Peter Cullen,5793,M,Bill Duke,7403,M
Two Can Play That Game (2001),Mark (I) Brown,6.1,4406,2001,Comedy,22235901,13000000,93,Gabrielle Union,568,F,David Krumholtz,595,M,Vivica A. Fox,1689,F,Morris Chestnut,2834,M,Anthony Anderson,3578,M,Ray Wise,4505,M
Groundhog Day (1993),Harold Ramis,8.1,446084,1993,Comedy,70906973,14600000,101,Bill Murray,195,M,Harold Ramis,691,M,Michael Shannon,1076,M,Brian Doyle-Murray,1597,M,Andie MacDowell,2606,F,Chris Elliott,4191,M
Any Given Sunday (1999),Oliver (I) Stone,6.8,98001,1999,Drama,100230832,55000000,156,Al Pacino,510,M,John C. McGinley,599,M,Cameron Diaz,736,F,Aaron Eckhart,1046,M,Lauren Holly,1239,F,Matthew Modine,1378,M
Mr. Church (2016),Bruce Beresford,7.7,4781,2016,Drama,597073,8000000,104,Britt Robertson,197,F,Natascha McElhone,472,F,Eddie Murphy,721,M,Mckenna Grace,1372,F,Xavier Samuel,2126,M,Madison Wolfe,2371,F
Shattered Glass (2003),Billy (I) Ray,7.2,29215,2003,Drama,2944752,6000000,89,Rosario Dawson,354,F,Hayden Christensen,370,M,Melanie Lynskey,1123,F,Peter Sarsgaard,1293,M,Steve Zahn,2600,M,Hank Azaria,2882,M
Warrior (2011),Gavin (I) O'Connor,8.2,338998,2011,Drama,24215385,25000000,140,Tom Hardy,15,M,Joel Edgerton,392,M,Frank Grillo,962,M,Gavin O'Connor,1930,M,Jake McLaughlin,1982,M,Nick Nolte,2245,M
Dream House (2011),Jim (I) Sheridan,6,47089,2011,Drama,21283440,55000000,84,Sarah Gadon,295,F,Daniel Craig,314,M,Rachel Weisz,358,F,Naomi Watts,423,F,Marton Csokas,2034,M,Elias Koteas,2548,M
Mr. Wonderful (1993),Anthony Minghella,5.9,2649,1993,Comedy,3125424,13000000,98,Mary-Louise Parker,737,F,Vincent D'Onofrio,776,M,William Hurt,1334,M,Matt Dillon,2280,M,James Gandolfini,2398,M,Annabella Sciorra,3507,F
Albino Alligator (1996),Kevin Spacey,6.1,6673,1996,Crime,326308,5000000,97,Viggo Mortensen,270,M,William Fichtner,861,M,Skeet Ulrich,1688,M,Faye Dunaway,1774,F,Matt Dillon,2280,M,Gary Sinise,2720,M
xXx (2002),Rob (I) Cohen,5.8,144114,2002,Action,277448382,70000000,132,Vin Diesel,206,M,Samuel L. Jackson,581,M,Danny Trejo,851,M,Asia Argento,1373,F,Marton Csokas,2034,M,Michael Roof,5852,M
Darkman (1990),Sam Raimi,6.4,48474,1990,Action,48878520,16000000,96,Liam Neeson,570,M,Bruce Campbell,700,M,Neal McDonough,1581,M,Jenny Agutter,2086,F,Joel Coen,2235,M,Frances McDormand,2917,F
Held Up (1999),Steve Rash,5.1,2892,1999,Comedy,4692814,8000000,89,Sarah Paulson,294,F,Nia Long,523,F,Roselyn Sanchez,1639,F,Natalia Cigliuti,1641,F,Jamie Foxx,2048,M,Jake Busey,3676,M
Raise Your Voice (2004),Sean (I) McNamara,5.9,22933,2004,Family,10411980,15000000,103,Kat Dennings,441,F,Johnny Lewis,666,M,Hilary Duff,870,F,Rebecca De Mornay,927,F,Jason Ritter,2188,M,John Corbett,3540,M
Toys (1992),Barry (I) Levinson,5,26685,1992,Adventure,21452082,43000000,122,Joan Cusack,519,F,Robin Williams,795,M,Michael Gambon,1352,M,Jamie Foxx,2048,M,Debi Mazar,2116,F,LL Cool J,3781,M
Room (2015/I),Lenny Abrahamson,8.2,181496,2015,Drama,21989069,13000000,118,Brie Larson,218,F,William H. Macy,1016,M,Jacob Tremblay,1040,M,Amanda Brugel,4739,F,Wendy Crewson,5400,F,Sean Bridgers,5687,M
I Love Trouble (1994),Charles Shyer,5.2,9765,1994,Action,61947267,45000000,123,Nick Nolte,2245,M,Robert Loggia,2695,M,Clark Gregg,2956,M,Keith Gordon,3972,M,Frankie Faison,4024,M,Eugene Levy,4113,M
Anacondas: The Hunt for the Blood Orchid (2004),Dwight H. Little,4.6,22655,2004,Action,70992898,25000000,97,Morris Chestnut,2834,M,KaDee Strickland,3004,F,Salli Richardson-Whitfield,3071,F,Nicholas Gonzalez,5008,M,Johnny Messner,5911,M,Eugene Byrd,6714,M
Hanging Up (2000),Diane Keaton,4.7,10245,2000,Comedy,51880044,60000000,94,Lisa Kudrow,1324,F,Diane Keaton,1379,F,Cloris Leachman,1750,F,Tracee Ellis Ross,2285,F,Walter Matthau,4274,M,Jesse James,4350,M
Teacher's Pet (2004),Timothy Björklund,5.8,1257,2004,Animation,6491350,10000000,74,Mae Whitman,411,F,Pamela Adlon,536,F,Megan Mullally,1260,F,Paul Reubens,1957,M,Kelsey Grammer,2612,M,David Ogden Stiers,2638,M
Wrath of the Titans (2012),Jonathan Liebesman,5.8,154665,2012,Action,305270083,150000000,99,Rosamund Pike,72,F,Toby Kebbell,339,M,Ralph Fiennes,512,M,Liam Neeson,570,M,Sam Worthington,849,M,Bill Nighy,1586,M
Boiling Point (1993/I),James B. Harris,4.9,4598,1993,Action,10058318,9000000,92,Viggo Mortensen,270,M,Wesley Snipes,1754,M,Jonathan Banks,2175,M,Tobin Bell,3011,M,Dennis Hopper,3103,M,Dan Hedaya,4079,M
Death at a Funeral (2007),Frank Oz,7.4,90658,2007,Comedy,8579684,9000000,87,Keeley Hawes,540,F,Peter Dinklage,993,M,Matthew Macfadyen,1235,M,Alan Tudyk,1256,M,Ewen Bremner,1405,M,Rupert Graves,5041,M
Hancock (2008),Peter (I) Berg,6.4,349983,2008,Action,624386746,150000000,102,Will Smith,215,M,Charlize Theron,253,F,Daeg Faerch,399,M,Atticus Shaffer,707,M,Jason Bateman,865,M,Johnny Galecki,1090,M
Jack Reacher (2012),Christopher McQuarrie,7,233946,2012,Action,218340595,60000000,130,Tom Cruise,49,M,Rosamund Pike,72,F,Jai Courtney,476,M,Werner Herzog,951,M,Robert Duvall,1985,M,Michael Raymond-James,1993,M
Mercury Rising (1998),Harold Becker,6.1,54932,1998,Action,93107289,60000000,111,Bruce Willis,377,M,Miko Hughes,889,M,Peter Stormare,1137,M,Alec Baldwin,1207,M,John Carroll Lynch,2155,M,Chad Lindberg,3557,M
Broken Flowers (2005),Jim Jarmusch,7.2,82346,2005,Comedy,45725990,10000000,106,Tilda Swinton,14,F,Bill Murray,195,M,Jeffrey Wright,739,M,Mark Webber,1149,M,Frances Conroy,1627,F,Julie Delpy,3702,F
High School (2010),John Stalberg Jr.,5.9,6317,2010,Comedy,1039034,1000000,95,Wyatt Russell,498,M,Brett Kelly,706,M,Adrien Brody,1163,M,Colin Hanks,1448,M,Mykelti Williamson,1486,M,Nadine Crocker,2250,F
Hamlet (1996),Kenneth Branagh,7.8,30884,1996,Drama,4414535,18000000,150,Kate Winslet,492,F,Rufus Sewell,617,M,Robin Williams,795,M,Kenneth Branagh,1307,M,Judi Dench,2282,F,Timothy Spall,2654,M
The Drop (2014),Michaël R. Roskam,7.1,108978,2014,Crime,10724389,12600000,106,Tom Hardy,15,M,Chris Sullivan,359,M,Erin Darke,432,F,Noomi Rapace,483,F,Matthias Schoenaerts,1042,M,James Gandolfini,2398,M
Six Degrees of Separation (1993),Fred Schepisi,6.9,16669,1993,Comedy,6410676,12000000,112,Will Smith,215,M,J.J. Abrams,1283,M,Ian McKellen,1388,M,Anthony Michael Hall,1612,M,Donald Sutherland,1842,M,Oz Perkins,1870,M
P.S. I Love You (2007),Richard LaGravenese,7.1,170806,2007,Drama,156835339,30000000,126,Jeffrey Dean Morgan,3,M,Gerard Butler,391,M,Lisa Kudrow,1324,F,Hilary Swank,1642,F,Gina Gershon,1791,F,Bette Davis,1882,F
Little Shop of Horrors (1986),Frank Oz,6.9,50305,1986,Comedy,38748395,25000000,102,Bill Murray,195,M,John Candy,652,M,Rick Moranis,998,M,Michael Shannon,1076,M,Steve Martin,1225,M,Christopher Guest,1819,M
The Next Best Thing (2000),John (I) Schlesinger,4.7,9423,2000,Comedy,24362772,25000000,99,Neil Patrick Harris,854,M,Benjamin Bratt,984,M,Rupert Everett,1555,M,Madonna,1973,F,Tom Burke,2061,M,John Carroll Lynch,2155,M
